Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-11-10,333.9590271863857,334.01891517951987,329.3175249474008,330.1958923339844,25500900,0.0,0
2021-11-11,330.6450687299609,333.1604557205248,329.90642987138153,331.8229064941406,16849800,0.0,0
2021-11-12,333.31022792260916,336.6141809542142,333.1804604472294,336.1051025390625,23822000,0.0,0
2021-11-15,336.9236156312403,337.2629910906334,333.4200156099173,335.456298828125,16723000,0.0,0
2021-11-16,335.0669917320383,340.04789997357375,334.8973192356291,338.8900146484375,20886800,0.0,0
2021-11-17,338.94000244140625,342.19000244140625,338.0,339.1199951171875,19053400,0.62,0
2021-11-18,338.17999267578125,342.45001220703125,337.1199951171875,341.2699890136719,22463500,0.0,0
2021-11-19,342.6400146484375,345.1000061035156,342.20001220703125,343.1099853515625,21963400,0.0,0
2021-11-22,344.6199951171875,349.6700134277344,339.54998779296875,339.8299865722656,31031100,0.0,0
2021-11-23,337.04998779296875,339.45001220703125,333.55999755859375,337.67999267578125,30427600,0.0,0
2021-11-24,336.2799987792969,338.1600036621094,333.9100036621094,337.9100036621094,21661300,0.0,0
2021-11-26,334.3500061035156,337.92999267578125,328.1199951171875,329.67999267578125,24217200,0.0,0
2021-11-29,334.94000244140625,339.0299987792969,334.739990234375,336.6300048828125,28563500,0.0,0
2021-11-30,335.32000732421875,337.7799987792969,328.989990234375,330.5899963378906,42885600,0.0,0
2021-12-01,335.1300048828125,339.2799987792969,329.3900146484375,330.0799865722656,33337600,0.0,0
2021-12-02,330.29998779296875,333.489990234375,327.79998779296875,329.489990234375,30735500,0.0,0
2021-12-03,331.989990234375,332.70001220703125,318.0299987792969,323.010009765625,41755900,0.0,0
2021-12-06,323.95001220703125,327.45001220703125,319.2300109863281,326.19000244140625,30032600,0.0,0
2021-12-07,331.6400146484375,335.79998779296875,330.1000061035156,334.9200134277344,31021900,0.0,0
2021-12-08,335.30999755859375,335.5,330.79998779296875,334.9700012207031,24761000,0.0,0
2021-12-09,334.4100036621094,336.489013671875,332.1200866699219,333.1000061035156,22214158,0.0,0
